Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
32,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21250.75,21244.50,2/27/2025 4:00:00 PM,2/27/2025 4:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$47.74,$12.18,$87.50,$0.00,$99.68,1,
33,MNQ SEP25,Backtest,CointegratedPairs,Long,7,21025.50,21019.25,2/27/2025 5:00:00 PM,2/27/2025 5:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),($51.94),$12.18,$87.50,$0.00,$99.68,1,
34,MES SEP25,Backtest,CointegratedPairs,Short,7,6023.25,5982.00,2/27/2025 4:00:00 PM,2/27/2025 5:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$1431.57,$1379.63,$12.18,$26.25,$1618.75,$187.18,2,
35,MNQ SEP25,Backtest,CointegratedPairs,Long,7,20207.00,20200.75,3/10/2025 11:00:00 AM,3/10/2025 11:00:00 AM,MNQ SEP25 Initial,Stop loss,($99.68),$1279.95,$12.18,$87.50,$0.00,$99.68,1,
36,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19970.50,20083.00,3/10/2025 12:00:00 PM,3/10/2025 12:00:00 PM,MNQ SEP25 Initial,Profit target,$1562.82,$2842.77,$12.18,$0.00,$1575.00,$12.18,1,
37,MES SEP25,Backtest,CointegratedPairs,Short,7,5793.75,5759.25,3/10/2025 11:00:00 AM,3/10/2025 12:00:00 PM,MES SEP25 Initial,Partial Exit Short MES SEP25,$1195.32,$4038.09,$12.18,$0.00,$1513.75,$318.43,2,
38,MNQ SEP25,Backtest,CointegratedPairs,Long,7,20344.25,20338.00,3/26/2025 2:00:00 PM,3/26/2025 2:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$3938.41,$12.18,$87.50,$0.00,$99.68,1,
39,MES SEP25,Backtest,CointegratedPairs,Short,7,5818.50,5824.75,3/26/2025 2:00:00 PM,3/26/2025 2:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$3707.48,$12.18,$218.75,$0.00,$230.93,1,
40,MNQ SEP25,Backtest,CointegratedPairs,Long,7,19817.25,19811.00,3/28/2025 12:00:00 PM,3/28/2025 12:00:00 PM,MNQ SEP25 Initial,Stop loss,($99.68),$3607.80,$12.18,$87.50,$0.00,$99.68,1,
41,MES SEP25,Backtest,CointegratedPairs,Short,7,5708.00,5714.25,3/28/2025 12:00:00 PM,3/28/2025 12:00:00 PM,MES SEP25 Initial,Stop loss,($230.93),$3376.87,$12.18,$218.75,$0.00,$230.93,1,
